Pool	Species	lane	propd
AH04	300	HE	@HWI-ST1050:2	0.975871537
AH06	300	HE	@HWI-ST1050:3	0.989363798
AH07	300	HE	@HWI-ST1050:3	0.986213235
AH102	400	HE	@HWI-ST1050:3	0.59872093
AH11	400	HE	@HWI-ST1050:1	0.002550823
AH13	400	HC	@HWI-ST1050:2	0.004768097
AH14	400	HC	@HWI-ST1050:2	0.004026981
AH18	400	HC	@HWI-ST1050:1	0.006168609
AH21	400	HC	@HWI-ST1050:1	0.007067138
AH22	400	HC	@HWI-ST1050:1	0.03552342
AH25	400	HC	@HWI-ST1050:1	0.002989537
AH26	400	HC	@HWI-ST1050:1	0.002142739
AH27	300	HE	@HWI-ST1050:3	0.993227403
AH28	400	HE	@HWI-ST1050:2	0.636966023
AH29	400	HC	@HWI-ST1050:2	0.006241489
AH40	400	HE	@HWI-ST1050:1	0.031716418
AH44	400	HE	@HWI-ST1050:1	0.986228814
AH61	400	HE	@HWI-ST1050:2	0.984010061
AH64	400	HE	@HWI-ST1050:1	0.001998168
AH65	400	HE	@HWI-ST1050:2	0.003490401
AH68	400	HE	@HWI-ST1050:2	0.002519244
AH69	400	HE	@HWI-ST1050:2	0.436373004
AH70	400	HE	@HWI-ST1050:2	0.725535815
AH75	300	HE	@HWI-ST1050:3	0.990173969
AH82	400	HE	@HWI-ST1050:3	0.005454545
AH83	300	HE	@HWI-ST1050:3	0.99173028
AH85	300	HE	@HWI-ST1050:3	0.097806452
AH86-87	300	HE	@HWI-ST1050:3	0.984384988
AH88	300	HE	@HWI-ST1050:3	0.985719875
AH89	400	HE	@HWI-ST1050:1	0.987413623
AH91	400	HC	@HWI-ST1050:1	0.002346977
AH95	400	HC	@HWI-ST1050:2	0.002946376
AHS1	Sili	HE	@HWI-ST373:1	0.984350256
AHS2	Sili	HE	@HWI-ST373:1	0.986157396
AHS3	Sili	HE	@HWI-ST373:1	0.989559272
AHS4	Sili	HE	@HWI-ST373:1	0.991002571
AHS5	Sili	HE	@HWI-ST373:1	0.114579218
AHS6	Sili	HE	@HWI-ST373:1	0.988147323
