tag,pool,filename,species,cryp,ladner,lat,long,propd,binbl,colldate,binsym,mitotype
AH228,400,17,2,HA,NA,-14.18013,-169.65523,0.0693880080446758,1,2015,C,1
AH227,400,18,2,HA,NA,-14.18013,-169.65523,0.0664252334575052,1,2015,C,1
AH252,400,34,2,HA,NA,-14.17961,-169.65508,0.072314746174576,0,2015,C,1
AH284,400,54,2,HA,NA,-14.18031,-169.65455,0.0947307818952769,1,2015,C,1
AH15,400,82,2,HA,NA,-14.179504,-169.655,0.0890204834653186,1,2015,C,1
AH117,400,85,2,HA,NA,-14.1795046,-169.655,0.071609006640764,1,2015,C,1
AH19,400,86,2,HA,HA,-14.1797,-169.65487,0.0670392916358231,1,2015,C,1
AH23,400,plate2_1,2,HA,HA,-14.17996,-169.65471,0.562468719299973,0,2015,D,1
AH92,400,plate2_4,2,HA,NA,-14.17974,-169.65457,0.0682196748147202,1,2015,C,1
AH93,400,plate2_6,2,HA,NA,-14.1797,-169.65466,0.408510989997975,1,2015,C,1
AH97,400,plate2_8,2,HA,NA,-14.17965,-169.65475,0.0785391449792806,1,2015,C,1
AH96,400,plate2_9,2,HA,NA,-14.17964,-169.65465,0.0723528213880608,1,2015,C,1
AH342,400,plate2_11,2,HA,NA,-14.17988,-169.65466,0.0801726171258392,1,2015,C,1
AH225,400,15,3,HC,NA,-14.17992,-169.65526,0.0677248052896825,1,2015,C,1
AH251,400,33,3,HC,NA,-14.1796,-169.65515,0.175807336893651,1,2015,C,1
AH256,400,36,3,HC,NA,-14.17965,-169.65504,0.0649128037855048,0,2015,C,1
AH257,400,37,3,HC,NA,-14.17965,-169.65504,0.0677723866796957,1,2015,C,1
AH270,400,42,3,HC,NA,-14.18048,-169.65522,0.076683800421344,0,2015,C,1
AH275,400,45,3,HC,NA,-14.18038,-169.65542,0.0701556778812053,0,2015,C,1
AH276,400,46,3,HC,NA,-14.18029,-169.65434,0.0777368389301907,0,2015,C,1
AH296,400,64,3,HC,NA,-14.18,-169.65428,0.0778734499825034,1,2015,C,1
AH309,400,77,3,HC,NA,-14.17992,-169.65413,0.129060530816953,0,2015,C,1
AH13,400,80,3,HC,HC,-14.179502,-169.655,0.0894892240644818,1,2015,C,1
AH14,400,81,3,HC,HC,-14.179504,-169.655,0.107736240311509,1,2015,C,1
AH18,400,83,3,HC,HC,-14.1795042,-169.655,0.0719358344935045,1,2015,C,1
AH114,400,87,3,HC,NA,-14.179702,-169.6548,0.0828343909226094,1,2015,C,1
AH21,400,89,3,HC,HC,-14.1797,-169.6548,0.0906508862856767,1,2015,C,1
AH115,400,90,3,HC,NA,-14.179706,-169.6548,0.118371653681794,1,2015,C,1
AH113,400,91,3,HC,NA,-14.179702,-169.6548,0.106217022385803,1,2015,C,1
AH5,400,92,3,HC,HA,-14.1799,-169.6548,0.0778727007748307,0,2015,C,1
AH112,400,93,3,HC,NA,-14.18318,-169.66031,0.0849030075908711,0,2015,C,1
AH24,400,96,3,HC,NA,-14.18,-169.6547,0.0587256842835968,1,2015,C,1
AH25,400,plate2_2,3,HC,HC,-14.179708,-169.6548,0.0748301960542627,0,2015,C,1
AH91,400,plate2_3,3,HC,NA,-14.17977,-169.65462,0.0648245882250429,1,2015,C,1
AH95,400,plate2_7,3,HC,NA,-14.17972,-169.65469,0.0759544319965023,1,2015,C,1
AH9,300,plate2_15,3,HC,HC,-14.18206,-169.65849,0.914652823119983,0,2015,D,1
AH219,400,9,1,HD,NA,-14.17991,-169.65526,0.838525773534856,0,2015,D,1
AH220,400,10,1,HD,NA,-14.17994,-169.65526,0.105759111001767,1,2015,C,1
AH221,400,11,1,HD,NA,-14.17999,-169.65524,0.0777569502611128,1,2015,C,1
AH222,400,12,1,HD,NA,-14.17999,-169.65524,0.0763513110181512,0,2015,C,1
AH226,400,16,1,HD,NA,-14.18005,-169.65526,0.0905160148976616,1,2015,C,1
AH229,400,19,1,HD,NA,-14.18009,-169.65515,0.0869347011412187,0,2015,C,1
AH233,400,23,1,HD,NA,-14.1799,-169.6553,0.0695772861148451,0,2015,C,1
AH234,400,24,1,HD,NA,-14.1798,-169.65515,0.0829332280570842,1,2015,C,1
AH247,400,30,1,HD,NA,-14.17955,-169.65514,0.0627034922872388,1,2015,C,1
AH245,400,32,1,HD,NA,-14.17955,-169.65514,0.0804872084362662,1,2015,C,1
AH255,400,35,1,HD,NA,-14.17955,-169.65504,0.0713424077509723,0,2015,C,1
AH297,400,65,1,HD,NA,-14.18004,-169.65428,0.0869363809262716,1,2015,C,1
AH299,400,67,1,HD,NA,-14.17982,-169.65424,0.129922892594153,1,2015,C,1
