tag,pool,filename,species,cryp,ladner,lat,long,propd,binbl,colldate
AH228,400,17,4,HA,NA,-14.18013,-169.65523,0.0898547280066955,1,2015
AH227,400,18,4,HA,NA,-14.18013,-169.65523,0.0920021545067696,1,2015
AH252,400,34,4,HA,NA,-14.17961,-169.65508,0.0955036860781492,0,2015
AH284,400,54,4,HA,NA,-14.18031,-169.65455,0.11303679840885,1,2015
AH15,400,82,4,HA,NA,-14.179504,-169.655,0.104857800070474,1,2015
AH117,400,85,4,HA,NA,-14.1795046,-169.655,0.0944112635377747,1,2015
AH19,400,86,4,HA,HA,-14.1797,-169.65487,0.0844791978277857,1,2015
AH23,400,plate2_1,4,HA,HA,-14.17996,-169.65471,0.581445458867203,0,2015
AH92,400,plate2_4,4,HA,NA,-14.17974,-169.65457,0.0856824670736193,1,2015
AH93,400,plate2_6,4,HA,NA,-14.1797,-169.65466,0.433161418815338,1,2015
AH97,400,plate2_8,4,HA,NA,-14.17965,-169.65475,0.101936902227186,1,2015
AH96,400,plate2_9,4,HA,NA,-14.17964,-169.65465,0.100142876677855,1,2015
AH342,400,plate2_11,4,HA,NA,-14.17988,-169.65466,0.104363048265574,1,2015
AH225,400,15,2,HC,NA,-14.17992,-169.65526,0.0866653404226664,1,2015
AH251,400,33,2,HC,NA,-14.1796,-169.65515,0.200036544822577,1,2015
AH256,400,36,2,HC,NA,-14.17965,-169.65504,0.0819517966346665,0,2015
AH257,400,37,2,HC,NA,-14.17965,-169.65504,0.0804417426617271,1,2015
AH270,400,42,2,HC,NA,-14.18048,-169.65522,0.0949002245440313,0,2015
AH275,400,45,2,HC,NA,-14.18038,-169.65542,0.0930274761349965,0,2015
AH276,400,46,2,HC,NA,-14.18029,-169.65434,0.098792388419006,0,2015
AH296,400,64,2,HC,NA,-14.18,-169.65428,0.103410415905342,1,2015
AH309,400,77,2,HC,NA,-14.17992,-169.65413,0.151837054934274,0,2015
AH13,400,80,2,HC,HC,-14.179502,-169.655,0.121740247071773,1,2015
AH14,400,81,2,HC,HC,-14.179504,-169.655,0.13202289374351,1,2015
AH18,400,83,2,HC,HC,-14.1795042,-169.655,0.0947785356727252,1,2015
AH114,400,87,2,HC,NA,-14.179702,-169.6548,0.105135634341084,1,2015
AH21,400,89,2,HC,HC,-14.1797,-169.6548,0.110428084323412,1,2015
AH115,400,90,2,HC,NA,-14.179706,-169.6548,0.152724819363969,1,2015
AH113,400,91,2,HC,NA,-14.179702,-169.6548,0.156131305380665,1,2015
AH5,400,92,2,HC,HA,-14.1799,-169.6548,0.0972437567124581,0,2015
AH112,400,93,2,HC,NA,-14.18318,-169.66031,0.108988915955488,0,2015
